Timestamp,Alter in Jahren:,Geschlecht,Beziehung Status.,Berufsstand:,Anzahl der Personen in Ihrem Haushalt:,Wie gestresst sind Sie im Alltag außerhalb Ihrer Arbeitszeit?,Können Sie sich vorstellen in einer ähnlichen Situation wie Person A im oberen Szenario zu sein?,Wollen Sie den angebotenen Service nutzen?,Wie viel wollen Sie maximal für die Erledigung der Aufgabe pro Stunde in Euro bezahlen?,Können Sie sich vorstellen in einer ähnlichen Situation wie Person A im oberen Szenario zu sein?,Wollen Sie den angebotenen Service nutzen?,Wie viel wollen Sie maximal für die Erledigung der Aufgabe pro Stunde in Euro bezahlen?,Können Sie sich vorstellen in einer ähnlichen Situation wie Person A im oberen Szenario zu sein?,Wollen Sie den angebotenen Service nutzen?,Wie viel wollen Sie maximal für die Erledigung der Aufgabe pro Stunde in Euro bezahlen?,Können Sie sich vorstellen in einer ähnlichen Situation wie Person A im oberen Szenario zu sein?,Wollen Sie den angebotenen Service nutzen?,Wie viel wollen Sie maximal für die Erledigung der Aufgabe pro Stunde in Euro bezahlen?,Können Sie sich vorstellen in einer ähnlichen Situation wie Person A im oberen Szenario zu sein?,Wollen Sie den angebotenen Service nutzen?,Wie viel wollen Sie maximal für die Erledigung der Aufgabe pro Stunde in Euro bezahlen?
6/6/2019 17:01:00,26,Weiblich,In einer Beziehung,Angestellt,2,2,Ja,Ja,15,Nein,Nein,,Ja,Ja,50,Ja,Ja,12,Nein,Nein,
6/6/2019 23:24:07,,Weiblich,,Angestellt,,5,Ja,Ja,9,Nein,Nein,,Ja,Ja,8,Ja,Ja,12,Ja,Ja,7
6/8/2019 16:14:23,32,Männlich,Ledig,Angestellt,2,3,Ja,Ja,12,Ja,Ja,10,Ja,Ja,15,Nein,Ja,15,Ja,Ja,15
6/8/2019 16:18:38,56,Weiblich,Verheiratet,Angestellt,2,3,Ja,Ja,20,Ja,Ja,10,Ja,Ja,10,Ja,Ja,12,Ja,Ja,6
6/8/2019 16:19:32,27,Männlich,In einer Beziehung,Angestellt,2,2,Ja,Nein,,Ja,Ja,15,Nein,Nein,,Nein,Nein,,Nein,Nein,
6/8/2019 16:23:40,23,Weiblich,In einer Beziehung,Angestellt,3,3,Ja,Ja,10,Nein,Nein,,Nein,Nein,,Ja,Ja,12,Ja,Ja,9
6/8/2019 16:24:26,24,Weiblich,In einer Beziehung,Angestellt,2,4,Ja,Nein,,Nein,Nein,,Ja,Ja,10,Ja,Ja,15,Ja,Nein,
6/8/2019 16:27:02,26,Männlich,Ledig,Angestellt,1,6,Ja,Ja,10,Nein,Nein,,Nein,Nein,,Ja,Ja,10,Nein,Nein,
6/8/2019 16:27:19,25,Weiblich,In einer Beziehung,Angestellt,2,2,Ja,Ja,5,Nein,Nein,,Ja,Ja,5,Ja,Ja,15,Ja,Nein,
6/8/2019 16:31:32,23,Weiblich,Ledig,Angestellt,4,2,Ja,Ja,10,Ja,Ja,10,Nein,Nein,,Ja,Ja,10,Nein,Nein,
