Timestamp,Alter in Jahren:,Geschlecht,Für welchen Abschluss studieren Sie gerade?,Arbeiten Sie momentan neben Ihrem Studium als Teilzeit Angestellter oder Aushilfskraft/Werksstudent?,Können Sie sich vorstellen in einer ähnlichen Situation wie Person B im oberen Szenario zu sein?,Wollen Sie den angebotenen Service nutzen?,Wie viel wollen Sie mindestens für die Erledigung der Aufgabe pro Stunde in Euro bekommen?,Können Sie sich vorstellen in einer ähnlichen Situation wie Person B im oberen Szenario zu sein?,Wollen Sie den angebotenen Service nutzen?,Wie viel wollen Sie mindestens für die Erledigung der Aufgabe pro Stunde in Euro bekommen?,Können Sie sich vorstellen in einer ähnlichen Situation wie Person B im oberen Szenario zu sein?,Wollen Sie den angebotenen Service nutzen?,Wie viel wollen Sie mindestens für die Erledigung der Aufgabe pro Stunde in Euro bekommen?,Können Sie sich vorstellen in einer ähnlichen Situation wie Person B im oberen Szenario zu sein?,Wollen Sie den angebotenen Service nutzen?,Wie viel wollen Sie mindestens für die Erledigung der Aufgabe pro Stunde in Euro bekommen?,Können Sie sich vorstellen in einer ähnlichen Situation wie Person B im oberen Szenario zu sein?,Wollen Sie den angebotenen Service nutzen?,Wie viel wollen mindestens Sie für die Erledigung der Aufgabe pro Stunde in Euro bekommen?
6/13/2019 20:46:44,20,Männlich,Bachelor,Ja,Ja,Ja,10,Ja,Ja,10,Ja,Ja,10,Ja,Ja,15,Ja,Ja,10
6/13/2019 21:08:12,22,Männlich,Bachelor,Ja,Ja,Ja,10,Ja,Nein,,Nein,Nein,,Nein,Nein,,Nein,Nein,
6/13/2019 21:18:45,25,Weiblich,Master,Nein,Nein,Nein,,Nein,Nein,,Nein,Nein,,Ja,Ja,13,Ja,Nein,
6/13/2019 21:25:20,20,Weiblich,Bachelor,Ja,Ja,Nein,,Ja,Ja,10,Ja,Ja,12,Nein,Nein,,Ja,Ja,10
6/13/2019 21:27:41,21,Weiblich,Bachelor,Nein,Ja,Ja,15,Ja,Ja,15,Ja,Nein,,Ja,Ja,15,Ja,Ja,10
6/13/2019 21:27:46,25,Weiblich,Bachelor,Ja,Nein,Nein,,Ja,Nein,,Nein,Nein,,Nein,Nein,,Ja,Nein,
6/13/2019 21:28:46,22,Weiblich,Bachelor,Ja,Nein,Nein,,Nein,Nein,,Nein,Nein,,Ja,Nein,,Nein,Nein,
6/13/2019 21:30:55,22,Weiblich,Master,Nein,Nein,Nein,,Ja,Nein,,Nein,Nein,,Ja,Ja,15,Nein,Nein,
6/13/2019 21:32:45,27,Männlich,Bachelor,Ja,Ja,Ja,20,Nein,Ja,15,Nein,Ja,15,Ja,Ja,20,Nein,Ja,10
6/13/2019 21:33:25,23,Weiblich,Bachelor,Ja,Ja,Ja,10,Nein,Nein,,Nein,Nein,,Ja,Ja,12,Nein,Nein,
6/13/2019 21:34:49,30,Weiblich,Bachelor,Ja,Ja,Ja,10,Ja,Ja,12,Ja,Ja,13,Ja,Ja,15,Ja,Ja,12
6/13/2019 21:37:01,25,Weiblich,Geprüfter Wirtschaftsfachwirt IHK,Ja,Ja,Nein,,Ja,Ja,10,Nein,Ja,10,Nein,Nein,,Ja,Ja,8
6/13/2019 21:37:31,20,Weiblich,Bachelor,Ja,Ja,Nein,,Nein,Nein,,Nein,Nein,,Ja,Ja,10,Ja,Ja,10
6/13/2019 21:38:15,21,Männlich,Bachelor,Nein,Ja,Ja,8,Ja,Ja,8,Ja,Ja,8,Ja,Ja,12,Ja,Ja,5
6/13/2019 21:39:13,21,Weiblich,Bachelor,Ja,Ja,Ja,10,Ja,Ja,10,Ja,Ja,10,Ja,Ja,10,Ja,Ja,10
6/13/2019 21:41:54,27,Weiblich,Bachelor,Ja,Ja,Ja,15,Ja,Nein,,Nein,Nein,,Ja,Nein,,Ja,Ja,10
6/13/2019 21:50:29,19,Männlich,Bachelor,Ja,Nein,Ja,10,Nein,Ja,12.5,Nein,Ja,12.5,Ja,Ja,12.5,Ja,Ja,12.5
6/13/2019 21:51:50,30,Männlich,Master,Ja,Ja,Ja,11,Ja,Ja,9,Nein,Nein,,Ja,Ja,14,Ja,Ja,9
6/13/2019 21:52:44,25,Männlich,Bachelor,Ja,Ja,Nein,,Ja,Ja,20,Nein,Nein,,Ja,Ja,20,Nein,Nein,
6/13/2019 21:55:20,23,Weiblich,Bachelor,Nein,Ja,Ja,10,Ja,Nein,,Ja,Ja,10,Ja,Ja,10,Ja,Ja,5
6/13/2019 22:05:56,26,Weiblich,Master,Ja,Ja,Ja,12,Ja,Nein,,Ja,Nein,,Ja,Ja,15,Ja,Ja,10
6/13/2019 22:12:16,26,Weiblich,Master,Ja,Ja,Ja,5,Ja,Ja,8,Ja,Ja,9,Ja,Ja,13,Ja,Ja,5
6/13/2019 22:12:38,22,Weiblich,Bachelor,Ja,Ja,Nein,,Ja,Ja,12,Nein,Ja,12,Ja,Nein,,Ja,Ja,10
6/13/2019 22:12:45,22,Männlich,Bachelor,Ja,Ja,Ja,10,Ja,Ja,10,Nein,Nein,,Ja,Ja,15,Ja,Ja,15
6/13/2019 22:15:59,24,Männlich,Bachelor,Ja,Ja,Ja,8,Ja,Ja,8,Ja,Nein,,Ja,Ja,8,Ja,Ja,9
6/13/2019 22:16:30,22,Weiblich,Bachelor,Ja,Ja,Ja,15,Ja,Ja,20,Ja,Ja,15,Ja,Ja,15,Ja,Ja,20
6/13/2019 22:24:46,24,Männlich,Master,Nein,Ja,Nein,,Nein,Nein,,Nein,Nein,,Ja,Nein,,Ja,Ja,15
6/13/2019 22:26:58,20,Weiblich,Bachelor,Ja,Ja,Ja,11,Ja,Ja,11,Ja,Ja,12,Ja,Ja,12,Ja,Ja,10
6/13/2019 22:27:56,18,Männlich,Bachelor,Nein,Ja,Ja,15,Ja,Ja,20,Nein,Ja,45,Nein,Nein,,Ja,Ja,15
6/13/2019 22:28:38,20,Männlich,Bachelor,Ja,Ja,Ja,8,Ja,Ja,9,Ja,Ja,10,Ja,Ja,15,Ja,Ja,10
6/13/2019 22:29:41,19,Männlich,Bachelor,Nein,Ja,Ja,10,Ja,Ja,10,Ja,Ja,10,Ja,Ja,12,Ja,Ja,10
6/13/2019 22:32:20,25,Männlich,Master,Ja,Ja,Ja,15,Nein,Nein,,Nein,Nein,,Ja,Nein,,Nein,Nein,
6/13/2019 22:33:25,23,Weiblich,Bachelor,Nein,Ja,Ja,9,Ja,Ja,9,Ja,Ja,9,Ja,Ja,12,Ja,Ja,9
6/13/2019 22:33:35,24,Männlich,Master,Ja,Ja,Nein,,Ja,Nein,,Ja,Ja,11,Ja,Ja,13,Ja,Nein,
6/13/2019 22:37:09,28,Weiblich,Bachelor,Ja,Ja,Nein,,Ja,Ja,9,Ja,Ja,6,Ja,Ja,12,Ja,Ja,9
6/13/2019 22:46:04,19,Weiblich,Bachelor,Ja,Nein,Ja,10,Nein,Ja,10,Nein,Ja,10,Ja,Ja,15,Nein,Ja,10
6/13/2019 22:47:51,26,Weiblich,Master,Ja,Ja,Nein,,Ja,Ja,13,Ja,Nein,,Ja,Nein,,Ja,Ja,10
6/13/2019 22:50:27,19,Männlich,Bachelor,Nein,Ja,Ja,10,Nein,Nein,,Ja,Ja,10,Ja,Ja,10,Nein,Ja,10
6/13/2019 22:53:06,22,Männlich,Bachelor,Ja,Ja,Nein,,Ja,Nein,,Ja,Nein,,Ja,Ja,15,Ja,Ja,12
6/13/2019 22:56:28,26,Weiblich,Master,Ja,Nein,Nein,,Nein,Nein,,Nein,Nein,,Ja,Ja,20,Nein,Ja,15
6/13/2019 23:00:02,28,Weiblich,Master,Ja,Ja,Ja,7,Ja,Nein,,Ja,Ja,12,Ja,Ja,12,Ja,Ja,7
6/13/2019 23:04:59,21,Weiblich,Bachelor,Ja,Ja,Ja,15,Ja,Ja,20,Ja,Ja,20,Ja,Ja,20,Ja,Ja,10
6/13/2019 23:11:09,24,Weiblich,Master,Ja,Ja,Nein,,Ja,Nein,,Nein,Nein,,Ja,Nein,,Ja,Nein,
6/13/2019 23:21:57,20,Weiblich,Bachelor,Ja,Ja,Ja,13,Ja,Ja,12,Nein,Nein,,Ja,Ja,11,Ja,Ja,9
6/13/2019 23:22:21,30,Männlich,Master,Ja,Ja,Ja,15,Nein,Ja,20,Ja,Nein,,Ja,Ja,20,Ja,Ja,10
6/13/2019 23:28:59,26,Weiblich,Master,Nein,Ja,Nein,,Ja,Ja,11,Ja,Nein,,Ja,Ja,11,Ja,Ja,10
6/13/2019 23:36:08,20,Männlich,Bachelor,Ja,Ja,Ja,14,Nein,Ja,10,Nein,Nein,,Ja,Ja,14,Ja,Ja,10
6/13/2019 23:46:41,23,Weiblich,Master,Ja,Ja,Ja,15,Ja,Nein,,Nein,Nein,,Ja,Ja,15,Ja,Ja,20
6/13/2019 23:58:16,25,Weiblich,Bachelor,Ja,Nein,Nein,,Nein,Nein,,Nein,Nein,,Ja,Ja,12,Nein,Nein,
6/14/2019 0:04:48,24,Weiblich,Master,Ja,Ja,Nein,,Ja,Ja,12,Nein,Nein,,Ja,Ja,12,Ja,Nein,
6/14/2019 0:14:36,25,Weiblich,Bachelor,Ja,Ja,Nein,,Nein,Nein,,Nein,Nein,,Ja,Ja,10,Ja,Nein,
6/14/2019 0:17:29,20,Weiblich,Bachelor,Nein,Nein,Nein,,Nein,Nein,,Nein,Nein,,Nein,Nein,,Nein,Ja,9
6/14/2019 0:19:25,22,Weiblich,Bachelor,Ja,Ja,Ja,5,Ja,Ja,5,Ja,Ja,5,Ja,Ja,5,Ja,Ja,5
6/14/2019 0:21:06,19,Männlich,Bachelor,Ja,Ja,Ja,20,Ja,Nein,,Nein,Ja,20,Nein,Ja,20,Nein,Ja,20
6/14/2019 0:26:56,24,Weiblich,Bachelor,Ja,Ja,Ja,10,Ja,Ja,9,Ja,Ja,10,Ja,Ja,13,Ja,Ja,8
6/14/2019 0:31:48,20,Männlich,Bachelor,Ja,Ja,Ja,12,Ja,Ja,15,Nein,Nein,,Nein,Nein,,Nein,Nein,
6/14/2019 0:32:33,20,Weiblich,Bachelor,Ja,Ja,Ja,5,Ja,Ja,5,Ja,Nein,,Ja,Ja,10,Ja,Ja,7
6/14/2019 3:01:15,27,Männlich,Bachelor,Nein,Ja,Nein,,Ja,Ja,6,Ja,Nein,,Ja,Ja,12,Ja,Ja,10
6/14/2019 3:38:38,26,Männlich,Master,Nein,Ja,Ja,10,Ja,Ja,10,Nein,Nein,,Ja,Ja,14,Ja,Nein,
6/14/2019 4:46:20,20,Weiblich,Bachelor,Nein,Ja,Nein,,Ja,Nein,,Nein,Nein,,Ja,Ja,10,Ja,Ja,10
6/14/2019 6:41:34,22,Weiblich,Bachelor,Ja,Ja,Ja,12,Ja,Ja,8,Ja,Ja,12,Ja,Ja,12,Nein,Nein,
6/14/2019 9:33:38,24,Weiblich,Bachelor,Nein,Ja,Ja,14,Ja,Ja,15,Ja,Ja,12,Ja,Ja,15,Ja,Ja,12
6/14/2019 9:44:45,19,Männlich,Bachelor,Nein,Nein,Nein,,Nein,Nein,,Nein,Nein,,Nein,Nein,,Nein,Nein,
